Features,Labels,Encoded Labels
sort out hundred percent amount in usm transaction,0.0-1.0,Task1
 figures book potential differences investigation,7.0-10.0,Task6
bms support for week ,4.0-7.0,Task5
testing current version for demo at gloucester,2.0-3.0,Task3
preparing for demo at gloucester,1.0-2.0,Task2
ltdhq server message copy jobs failed,0.0-1.0,Task1
user support split ri proporion issue,1.0-2.0,Task2
daily management tasks march ,23.0-100.0,Task8
ldex machine has no messages  firewall change chase  action,1.0-2.0,Task2
v user action refresh speed issue,2.0-3.0,Task3
user support  dary event copy issue,0.0-1.0,Task1
sun accounts import  export,10.0-23.0,Task7
sun accounts import  export,10.0-23.0,Task7
 technical project management  march ,23.0-100.0,Task8
 technical project management  march ,23.0-100.0,Task8
look into lirma ilu message formats,10.0-23.0,Task7
technical meeting  discussing  ,3.0-4.0,Task4
technical meeting  discussing  ,3.0-4.0,Task4
v issues with textrtf fields in latest version,2.0-3.0,Task3
scms screen prints and table field names lists document for ,1.0-2.0,Task2
 message server issues  load messages when issues sorted,1.0-2.0,Task2
new scmsbms   application icon setup and deploy,3.0-4.0,Task4
new scmsbms   application icon setup and deploy,3.0-4.0,Task4
 planning meeting  ,1.0-2.0,Task2
risk quick entry mechanism,23.0-100.0,Task8
risk quick entry mechanism,23.0-100.0,Task8
risk status flow needs defining,0.0-1.0,Task1
risk earning schedule for all risk types,10.0-23.0,Task7
risk view  related premiums,0.0-1.0,Task1
risk view  related claims,3.0-4.0,Task4
cash matching screen,23.0-100.0,Task8
cash matching screen,23.0-100.0,Task8
build a lirma message repository,23.0-100.0,Task8
design sip accounting data structures excluding treaty information,23.0-100.0,Task8
design sip accounting data structures excluding treaty information,23.0-100.0,Task8
design sip accounting data structures excluding treaty information,23.0-100.0,Task8
design sip accounting data structures excluding treaty information,23.0-100.0,Task8
investigate broker ledger functionality,4.0-7.0,Task5
daily validation  risk need to add endorsement rules,23.0-100.0,Task8
daily validation  risk need to add endorsement rules,23.0-100.0,Task8
daily validation  risk need to add endorsement rules,23.0-100.0,Task8
daily validation  accounting,23.0-100.0,Task8
daily validation  accounting,23.0-100.0,Task8
daily validation  accounting,23.0-100.0,Task8
daily validation  accounting,23.0-100.0,Task8
daily validation  accounting,23.0-100.0,Task8
daily validation  corporate claim,4.0-7.0,Task5
period close  locking business objects in closed months,10.0-23.0,Task7
period close  locking business objects in closed months,10.0-23.0,Task7
hq report server issue reported by user print and exporting not working,0.0-1.0,Task1
user support  claim not opening,0.0-1.0,Task1
scms support  scms usm super search bug reported,4.0-7.0,Task5
scms support  scms usm super search bug reported,4.0-7.0,Task5
looking into what risk line uwref generator procedure generators,0.0-1.0,Task1
 period close feb help with error item corrections,2.0-3.0,Task3
lirma message repository super searches x,23.0-100.0,Task8
scm add movement  slow validation no hourglass,2.0-3.0,Task3
usm scm events screen prints and table field names  document for ,1.0-2.0,Task2
document tests runs,1.0-2.0,Task2
system anti virus update and back up,0.0-1.0,Task1
v  get new filtering to handle dates,0.0-1.0,Task1
daily server health checks  ,2.0-3.0,Task3
ltdhq scms daily reports failing to send following server reboot last friday,1.0-2.0,Task2
bms support for week ,4.0-7.0,Task5
weekly developer meeting th march    progress todate,7.0-10.0,Task6
weekly developer meeting th march    progress todate,7.0-10.0,Task6
weekly developer meeting th march    progress todate,7.0-10.0,Task6
weekly developer meeting th march    progress todate,7.0-10.0,Task6
weekly developer meeting th march    progress todate,7.0-10.0,Task6
weekly developer meeting th march    progress todate,7.0-10.0,Task6
sip management meeting,3.0-4.0,Task4
bms meeting with   and   at sip offices ,1.0-2.0,Task2
scms support    unexpected new line  please talk to it errors,0.0-1.0,Task1
mi meeting with   ,4.0-7.0,Task5
mi meeting with   ,4.0-7.0,Task5
v test systems  sync with dev system updates and prepare live release schedule,10.0-23.0,Task7
siptesting report creator,10.0-23.0,Task7
business object creation spike in v,4.0-7.0,Task5
creating new database and instance of scms for ,1.0-2.0,Task2
meeting with  re messaging,10.0-23.0,Task7
meeting with  re messaging,10.0-23.0,Task7
meeting with  re messaging,10.0-23.0,Task7
meeting with  re messaging,10.0-23.0,Task7
daily server health checks  ,1.0-2.0,Task2
draft pricing for hosted terminal server scms implementation,1.0-2.0,Task2
investigate marketing options,4.0-7.0,Task5
new user setup scms     ,0.0-1.0,Task1
message server down  no messages loaded,2.0-3.0,Task3
office desk move,2.0-3.0,Task3
office desk move,2.0-3.0,Task3
risk data capture specification for ,4.0-7.0,Task5
creating new database for  stripping out lloyds data,7.0-10.0,Task6
 meeting re finance,2.0-3.0,Task3
 meeting re finance,2.0-3.0,Task3
ltdhq daily reports failing to send,0.0-1.0,Task1
  marketing letter,3.0-4.0,Task4
time in lieu,4.0-7.0,Task5
release scms application to live   synd,2.0-3.0,Task3
release scms warehouse to live   synd,0.0-1.0,Task1
backup release prepost versions to disk   synd,0.0-1.0,Task1
release scms application to live   synd,2.0-3.0,Task3
release scms warehouse to live   synd,0.0-1.0,Task1
backup release prepost versions to disk   synd,0.0-1.0,Task1
message server   no messages received ,2.0-3.0,Task3
message server   no messages received ,2.0-3.0,Task3
bms support for week ,4.0-7.0,Task5
scms synd    message copy job failed,0.0-1.0,Task1
  live release of v  checks to see all ok,0.0-1.0,Task1
daily server health checks  ,1.0-2.0,Task2
build sql development server,4.0-7.0,Task5
test scms bandwidth requirements,2.0-3.0,Task3
risk and ri meeting with  and   ,4.0-7.0,Task5
risk and ri meeting with  and   ,4.0-7.0,Task5
review of payment system,1.0-2.0,Task2
release scms application to live   synd,3.0-4.0,Task4
release scms warehouse to live   synd,0.0-1.0,Task1
backup release prepost versions to disk   synd,0.0-1.0,Task1
investigate managed office services,23.0-100.0,Task8
setting up sipdev database with dev database,2.0-3.0,Task3
user support period close query,0.0-1.0,Task1
release scms application to live   synd,4.0-7.0,Task5
release scms warehouse to live   synd,0.0-1.0,Task1
backup release prepost versions to disk   synd,0.0-1.0,Task1
 credit control staff requirements meeting,4.0-7.0,Task5
 credit control staff requirements meeting,4.0-7.0,Task5
edit the risk screen to s requirements,23.0-100.0,Task8
edit the risk screen to s requirements,23.0-100.0,Task8
edit the risk screen to s requirements,23.0-100.0,Task8
release scms application to live   synd,4.0-7.0,Task5
release scms warehouse to live  synd,0.0-1.0,Task1
backup release prepost versions to disk  synd,0.0-1.0,Task1
set up loader as sql server job,7.0-10.0,Task6
set up loader as sql server job,7.0-10.0,Task6
create  demo database and add users required,0.0-1.0,Task1
user support  feb  figures book totals incorrect,0.0-1.0,Task1
bms support for week ,4.0-7.0,Task5
ensuring all scms v code checkedin labelled,0.0-1.0,Task1
user support  figures book data for feb not correct,23.0-100.0,Task8
user support  figures book data for feb not correct,23.0-100.0,Task8
daily server health checks  ,1.0-2.0,Task2
nad party name inconsistent between xml and dtd,0.0-1.0,Task1
scms message loadsand validation runs,0.0-1.0,Task1
 support period close check  force through items,1.0-2.0,Task2
user support   reported issue on claim movements report,7.0-10.0,Task6
daily management tasks april ,23.0-100.0,Task8
 technical project management  april ,23.0-100.0,Task8
 technical project management  april ,23.0-100.0,Task8
 technical project management  april ,23.0-100.0,Task8
recursive file line counter spike,1.0-2.0,Task2
estimates for  code,0.0-1.0,Task1
bms support for week ,4.0-7.0,Task5
bms support for week ,4.0-7.0,Task5
minor admin  management tasks  april,10.0-23.0,Task7
weekly developer meeting nd april   review of current projects,4.0-7.0,Task5
weekly developer meeting nd april   review of current projects,4.0-7.0,Task5
weekly developer meeting nd april   review of current projects,4.0-7.0,Task5
weekly developer meeting nd april   review of current projects,4.0-7.0,Task5
weekly developer meeting nd april   review of current projects,4.0-7.0,Task5
user support error opening synd  claim ,0.0-1.0,Task1
 project steering group  rd april ,1.0-2.0,Task2
alice john requests access to synd  taking on work from leaver simon sankey,0.0-1.0,Task1
setting up demo system for  and ,23.0-100.0,Task8
setting up demo system for  and ,23.0-100.0,Task8
setting up demo system for  and ,23.0-100.0,Task8
setting up demo system for  and ,23.0-100.0,Task8
setting up demo system for  and ,23.0-100.0,Task8
scms message loads and validation runs,0.0-1.0,Task1
user support  ri quota share period close check failing,1.0-2.0,Task2
scms message loads and validation runs,0.0-1.0,Task1
 broker ledger demo th april    ,4.0-7.0,Task5
 broker ledger demo th april    ,4.0-7.0,Task5
 broker ledger demo th april    ,4.0-7.0,Task5
 risk entry demo th april    ,1.0-2.0,Task2
ledgeraccounting super searches x,10.0-23.0,Task7
ledgeraccounting super searches x,10.0-23.0,Task7
ledgeraccounting super searches x,10.0-23.0,Task7
create a payment expected hybrid search and entry screen dsign,23.0-100.0,Task8
create a payment expected hybrid search and entry screen dsign,23.0-100.0,Task8
create a payment expected hybrid search and entry screen dsign,23.0-100.0,Task8
create a payment expected hybrid search and entry screen dsign,23.0-100.0,Task8
create a payment actual hybrid search and entry screen wsett,23.0-100.0,Task8
create a payment actual hybrid search and entry screen wsett,23.0-100.0,Task8
create a payment actual hybrid search and entry screen wsett,23.0-100.0,Task8
add treaty information to the payment expected business object,7.0-10.0,Task6
scms message loads and validation runs,0.0-1.0,Task1
getting  dev syncd to work with latest code,1.0-2.0,Task2
licence key updates,0.0-1.0,Task1
update any  references in bmsscms to  references,0.0-1.0,Task1
adding new bordx details to claim   synd ,1.0-2.0,Task2
user support   split complete query,0.0-1.0,Task1
user support  s close query and daily claim report query,0.0-1.0,Task1
meeting re message transport,0.0-1.0,Task1
market level claim system  design structures  search and entry screens,23.0-100.0,Task8
market level claim system  design structures  search and entry screens,23.0-100.0,Task8
problems with sipframeworkcheckboxwithlabel in designer,0.0-1.0,Task1
add class codes to  warehouse statistics,4.0-7.0,Task5
update demo laptop for ,7.0-10.0,Task6
  meeting with    to discuss credit extract,0.0-1.0,Task1
create new add new user script for sql  demo database,2.0-3.0,Task3
checkin  code to sourcesafedatabase changes to dev,0.0-1.0,Task1
bms support for week ,7.0-10.0,Task6
bms support for week ,7.0-10.0,Task6
 demo system release for ,7.0-10.0,Task6
negotiate test messages with xchanging  resulting minor updates,4.0-7.0,Task5
checkin  code to sourcesafe,1.0-2.0,Task2
investigate reason why scm search results differing from search in janmar  quarter,0.0-1.0,Task1
 project steering group  th april ,1.0-2.0,Task2
checkin  code to sourcesafedatabase merge,7.0-10.0,Task6
checkin  code to sourcesafedatabase merge,7.0-10.0,Task6
checkin  code to sourcesafedatabase merge,7.0-10.0,Task6
document system  validating input,4.0-7.0,Task5
system testing  getting and testing new version from visual sourcesafe,1.0-2.0,Task2
credit export,23.0-100.0,Task8
daily server health checks  ,2.0-3.0,Task3
adding new payments tab to risk to show dsign and wsett,4.0-7.0,Task5
investigate aspnet user opinion poll code,23.0-100.0,Task8
investigate aspnet user opinion poll code,23.0-100.0,Task8
grids painting slowly when number of columns large,1.0-2.0,Task2
release scms application to live   synd,3.0-4.0,Task4
release scms warehouse to live   synd,0.0-1.0,Task1
backup release prepost versions to disk   synd,0.0-1.0,Task1
release latest  application to ,1.0-2.0,Task2
remove old users from daily message emails remove obselete logins from server as well tidy up,1.0-2.0,Task2
notes control not marking business object as dirty when new notes added,1.0-2.0,Task2
masking not working correctly  set up properly on controls,0.0-1.0,Task1
user support aid scmusm error coreection queries,0.0-1.0,Task1
spxmlpreparedocument does not work when server is in fibre mode,4.0-7.0,Task5
spxmlpreparedocument does not work when server is in fibre mode,4.0-7.0,Task5
scm search bug clicking s on search parameter listbox errors when list reaches bottom,3.0-4.0,Task4
user setup setup   and   on scms,0.0-1.0,Task1
weekly developer meeting th april    development review,3.0-4.0,Task4
weekly developer meeting th april    development review,3.0-4.0,Task4
weekly developer meeting th april    development review,3.0-4.0,Task4
weekly developer meeting th april    development review,3.0-4.0,Task4
    sip workshop  ,10.0-23.0,Task7
    sip workshop  ,10.0-23.0,Task7
    sip workshop  ,10.0-23.0,Task7
bug fix  wrong document type when saving quick risk,1.0-2.0,Task2
bms live release  merging database and code to current scms version,2.0-3.0,Task3
search control crashes when searching with between on fields with set values,0.0-1.0,Task1
search control crashes when searching with between on fields with set values,0.0-1.0,Task1
auto refresh search results functionality,23.0-100.0,Task8
marketing meetings,10.0-23.0,Task7
marketing meetings,10.0-23.0,Task7
monthly catchup,1.0-2.0,Task2
requirements management for ledgeraccounting,3.0-4.0,Task4
requirements management for ledgeraccounting,3.0-4.0,Task4
